Date,Value,Label
1988-08-13,40,Modeled Flow: 160/40 CFS Target
1988-08-14,40,Modeled Flow: 160/40 CFS Target
1988-08-15,40,Modeled Flow: 160/40 CFS Target
1988-08-16,40,Modeled Flow: 160/40 CFS Target
1988-08-17,40,Modeled Flow: 160/40 CFS Target
1988-08-18,40,Modeled Flow: 160/40 CFS Target
1988-08-19,40,Modeled Flow: 160/40 CFS Target
1988-08-20,40,Modeled Flow: 160/40 CFS Target
1988-08-21,40,Modeled Flow: 160/40 CFS Target
1988-08-22,40,Modeled Flow: 160/40 CFS Target
1988-08-23,40,Modeled Flow: 160/40 CFS Target
1988-08-24,40,Modeled Flow: 160/40 CFS Target
1988-08-25,40,Modeled Flow: 160/40 CFS Target
1988-08-26,43.72,Modeled Flow: 160/40 CFS Target
1988-08-27,71.24,Modeled Flow: 160/40 CFS Target
1988-08-28,101.83,Modeled Flow: 160/40 CFS Target
1988-08-29,126.65,Modeled Flow: 160/40 CFS Target
1988-08-30,154.41,Modeled Flow: 160/40 CFS Target
1988-08-31,202.52,Modeled Flow: 160/40 CFS Target
1988-09-01,187.61,Modeled Flow: 160/40 CFS Target
1988-06-10,160,Modeled Flow: 160/60 CFS Target
1988-06-11,171.34,Modeled Flow: 160/60 CFS Target
1988-06-12,160,Modeled Flow: 160/60 CFS Target
1988-06-13,160,Modeled Flow: 160/60 CFS Target
1988-06-14,160,Modeled Flow: 160/60 CFS Target
1988-06-15,160,Modeled Flow: 160/60 CFS Target
1988-06-16,160,Modeled Flow: 160/60 CFS Target
1988-06-17,160,Modeled Flow: 160/60 CFS Target
1988-06-18,160,Modeled Flow: 160/60 CFS Target
1988-06-19,160,Modeled Flow: 160/60 CFS Target
1988-06-20,160,Modeled Flow: 160/60 CFS Target
1988-06-21,160,Modeled Flow: 160/60 CFS Target
1988-06-22,160,Modeled Flow: 160/60 CFS Target
1988-06-23,160,Modeled Flow: 160/60 CFS Target
1988-06-24,160,Modeled Flow: 160/60 CFS Target
1988-06-25,160,Modeled Flow: 160/60 CFS Target
1988-06-26,160,Modeled Flow: 160/60 CFS Target
1988-06-27,160,Modeled Flow: 160/60 CFS Target
1988-06-28,160,Modeled Flow: 160/60 CFS Target
1988-06-29,160,Modeled Flow: 160/60 CFS Target
1988-06-30,160,Modeled Flow: 160/60 CFS Target
1988-07-01,60,Modeled Flow: 160/60 CFS Target
1988-07-02,60,Modeled Flow: 160/60 CFS Target
1988-07-03,60,Modeled Flow: 160/60 CFS Target
1988-07-04,60,Modeled Flow: 160/60 CFS Target
1988-07-05,60,Modeled Flow: 160/60 CFS Target
1988-07-06,60,Modeled Flow: 160/60 CFS Target
1988-07-07,60,Modeled Flow: 160/60 CFS Target
1988-07-08,60,Modeled Flow: 160/60 CFS Target
1988-07-09,60,Modeled Flow: 160/60 CFS Target
1988-07-10,60,Modeled Flow: 160/60 CFS Target
1988-07-11,60,Modeled Flow: 160/60 CFS Target
1988-07-12,60,Modeled Flow: 160/60 CFS Target
1988-07-13,60,Modeled Flow: 160/60 CFS Target
1988-07-14,60,Modeled Flow: 160/60 CFS Target
1988-07-15,60,Modeled Flow: 160/60 CFS Target
1988-07-16,60,Modeled Flow: 160/60 CFS Target
1988-07-17,60,Modeled Flow: 160/60 CFS Target
1988-07-18,60,Modeled Flow: 160/60 CFS Target
1988-07-19,60,Modeled Flow: 160/60 CFS Target
1988-07-20,60,Modeled Flow: 160/60 CFS Target
1988-07-21,60,Modeled Flow: 160/60 CFS Target
1988-07-22,60,Modeled Flow: 160/60 CFS Target
1988-07-23,60,Modeled Flow: 160/60 CFS Target
1988-07-24,60,Modeled Flow: 160/60 CFS Target
1988-07-25,60,Modeled Flow: 160/60 CFS Target
1988-07-26,60,Modeled Flow: 160/60 CFS Target
1988-07-27,60,Modeled Flow: 160/60 CFS Target
1988-07-28,60,Modeled Flow: 160/60 CFS Target
1988-07-29,60,Modeled Flow: 160/60 CFS Target
1988-07-30,60,Modeled Flow: 160/60 CFS Target
1988-07-31,60,Modeled Flow: 160/60 CFS Target
1988-08-01,60,Modeled Flow: 160/60 CFS Target
1988-08-02,60,Modeled Flow: 160/60 CFS Target
1988-08-03,60,Modeled Flow: 160/60 CFS Target
1988-08-04,60,Modeled Flow: 160/60 CFS Target
1988-08-05,60,Modeled Flow: 160/60 CFS Target
1988-08-06,60,Modeled Flow: 160/60 CFS Target
1988-08-07,60,Modeled Flow: 160/60 CFS Target
1988-08-08,60,Modeled Flow: 160/60 CFS Target
1988-08-09,60,Modeled Flow: 160/60 CFS Target
1988-08-10,60,Modeled Flow: 160/60 CFS Target
1988-08-11,60,Modeled Flow: 160/60 CFS Target
1988-08-12,60,Modeled Flow: 160/60 CFS Target
1988-08-13,60,Modeled Flow: 160/60 CFS Target
1988-08-14,60,Modeled Flow: 160/60 CFS Target
1988-08-15,60,Modeled Flow: 160/60 CFS Target
1988-08-16,60,Modeled Flow: 160/60 CFS Target
1988-08-17,60,Modeled Flow: 160/60 CFS Target
1988-08-18,60,Modeled Flow: 160/60 CFS Target
1988-08-19,60,Modeled Flow: 160/60 CFS Target
1988-08-20,60,Modeled Flow: 160/60 CFS Target
1988-08-21,60,Modeled Flow: 160/60 CFS Target
1988-08-22,60,Modeled Flow: 160/60 CFS Target
1988-08-23,60,Modeled Flow: 160/60 CFS Target
1988-08-24,60,Modeled Flow: 160/60 CFS Target
1988-08-25,60,Modeled Flow: 160/60 CFS Target
1988-08-26,60,Modeled Flow: 160/60 CFS Target
1988-08-27,71.24,Modeled Flow: 160/60 CFS Target
1988-08-28,101.83,Modeled Flow: 160/60 CFS Target
1988-08-29,126.65,Modeled Flow: 160/60 CFS Target
1988-08-30,154.41,Modeled Flow: 160/60 CFS Target
1988-08-31,202.52,Modeled Flow: 160/60 CFS Target
1988-09-01,187.61,Modeled Flow: 160/60 CFS Target
