"","Measure","Scenario","Period","Strategy","WYear","Value"
"202","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1956,116.7668789
"203","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1957,43.5768359
"204","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1958,0
"205","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1959,0
"206","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1960,344.5485737
"207","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1961,557.8509375
"208","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1962,700.9979674
"209","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1963,1454.4388816
"210","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1964,1528.6206596
"211","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1965,0
"212","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1966,0
"213","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1967,256.9783732
"214","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1968,523.4972371
"215","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1969,315.966771
"216","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1970,536.8658249
"217","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1971,278.8957167
"218","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1972,391.933672
"219","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1973,11928.5489106
"220","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1974,1188.7729098
"221","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1975,57.5999688
"222","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1976,398.3997842
"223","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1977,9605.0724832
"224","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1978,25.3685813
"225","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1979,290.5188509
"226","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1980,1311.2323476
"227","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1981,250.8891203
"228","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1982,212.3502982
"229","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1983,1863.9262631
"230","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1984,4041.8159925
"231","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1985,5066.1592393
"232","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1986,1727.2651801
"233","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1987,794.3599003
"234","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1988,4423.8124798
"235","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1989,795.4111394
"236","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1990,809.454107
"237","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1991,754.7301697
"238","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1992,2570.7357976
"239","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1993,186.1288248
"240","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1994,2035.3575752
"241","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1995,507.966667
"242","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1996,434.7567893
"243","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1997,339.9469233
"244","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1998,125.2957999
"245","FSID and Broken O Shortages","CT","2050s","Add30kAcFtIncPSCCap",1999,384.396486
"246","FSID and Broken O Shortages","CT","2050s","Baseline",1951,13.7454471
"247","FSID and Broken O Shortages","CT","2050s","Baseline",1952,689.4343373
"248","FSID and Broken O Shortages","CT","2050s","Baseline",1953,842.1615273
"249","FSID and Broken O Shortages","CT","2050s","Baseline",1954,788.3698209
"250","FSID and Broken O Shortages","CT","2050s","Baseline",1955,282.7833179
"251","FSID and Broken O Shortages","CT","2050s","Baseline",1956,513.3022013
"252","FSID and Broken O Shortages","CT","2050s","Baseline",1957,214.4329417
"253","FSID and Broken O Shortages","CT","2050s","Baseline",1958,0
"254","FSID and Broken O Shortages","CT","2050s","Baseline",1959,0
"255","FSID and Broken O Shortages","CT","2050s","Baseline",1960,126.347039
"256","FSID and Broken O Shortages","CT","2050s","Baseline",1961,625.0310664
"257","FSID and Broken O Shortages","CT","2050s","Baseline",1962,730.5318357
"258","FSID and Broken O Shortages","CT","2050s","Baseline",1963,1523.2454559
"259","FSID and Broken O Shortages","CT","2050s","Baseline",1964,1536.2173497
"260","FSID and Broken O Shortages","CT","2050s","Baseline",1965,0
"261","FSID and Broken O Shortages","CT","2050s","Baseline",1966,3.0545438
"262","FSID and Broken O Shortages","CT","2050s","Baseline",1967,190.2544424
"263","FSID and Broken O Shortages","CT","2050s","Baseline",1968,494.3798975
"264","FSID and Broken O Shortages","CT","2050s","Baseline",1969,549.2030083
"265","FSID and Broken O Shortages","CT","2050s","Baseline",1970,533.950124
"266","FSID and Broken O Shortages","CT","2050s","Baseline",1971,326.9948642
"267","FSID and Broken O Shortages","CT","2050s","Baseline",1972,367.8940156
"268","FSID and Broken O Shortages","CT","2050s","Baseline",1973,13517.3877194
"269","FSID and Broken O Shortages","CT","2050s","Baseline",1974,1403.2851903
"270","FSID and Broken O Shortages","CT","2050s","Baseline",1975,92.033008
"271","FSID and Broken O Shortages","CT","2050s","Baseline",1976,281.3155501
"272","FSID and Broken O Shortages","CT","2050s","Baseline",1977,10885.8982357
"273","FSID and Broken O Shortages","CT","2050s","Baseline",1978,24.396681
"274","FSID and Broken O Shortages","CT","2050s","Baseline",1979,155.4643786
"275","FSID and Broken O Shortages","CT","2050s","Baseline",1980,1307.2455729
"276","FSID and Broken O Shortages","CT","2050s","Baseline",1981,465.6394172
"277","FSID and Broken O Shortages","CT","2050s","Baseline",1982,199.2792309
"278","FSID and Broken O Shortages","CT","2050s","Baseline",1983,1592.4288895
"279","FSID and Broken O Shortages","CT","2050s","Baseline",1984,4730.7147929
"280","FSID and Broken O Shortages","CT","2050s","Baseline",1985,4545.9545624
"281","FSID and Broken O Shortages","CT","2050s","Baseline",1986,2277.8367827
"282","FSID and Broken O Shortages","CT","2050s","Baseline",1987,768.2772698
"283","FSID and Broken O Shortages","CT","2050s","Baseline",1988,5480.724304
"284","FSID and Broken O Shortages","CT","2050s","Baseline",1989,799.5962611
"285","FSID and Broken O Shortages","CT","2050s","Baseline",1990,751.933477
"286","FSID and Broken O Shortages","CT","2050s","Baseline",1991,761.9500005
"287","FSID and Broken O Shortages","CT","2050s","Baseline",1992,2691.4696165
"288","FSID and Broken O Shortages","CT","2050s","Baseline",1993,194.7965887
"289","FSID and Broken O Shortages","CT","2050s","Baseline",1994,1969.5262059
"290","FSID and Broken O Shortages","CT","2050s","Baseline",1995,522.5451715
"291","FSID and Broken O Shortages","CT","2050s","Baseline",1996,328.9783342
"292","FSID and Broken O Shortages","CT","2050s","Baseline",1997,380.5088848
"293","FSID and Broken O Shortages","CT","2050s","Baseline",1998,125.2957999
"294","FSID and Broken O Shortages","CT","2050s","Baseline",1999,823.4574052
"295","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1951,44.5884056
"296","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1952,1101.7779156
"297","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1953,1249.784447
"298","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1954,1188.9910915
"299","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1955,206.5387311
"300","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1956,3.4512378
"301","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1957,274.1353887
"302","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1958,0
"303","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1959,0
"304","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1960,1252.7199826
"305","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1961,1081.4473481
"306","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1962,757.5863665
"307","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1963,2055.7476468
"308","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1964,2209.6450841
"309","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1965,0
"310","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1966,281.6725747
"311","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1967,1220.9249585
"312","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1968,894.0094331
"313","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1969,770.0028887
"314","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1970,880.7003494
"315","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1971,1139.3646721
"316","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1972,1413.420722
"317","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1973,18558.4560632
"318","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1974,2013.7575869
"319","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1975,168.6941235
"320","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1976,776.925199
"321","FSID and Broken O Shortages","CT","2080s","Add30kAcFt",1977,10888.1395568
